,snapshot,component_charge,fieldtype_charge,field_charge,value_charge,mode_charge,component_discharge,fieldtype_discharge,field_discharge,value_discharge,mode_discharge
194,t195,battery.charging,exp,in_electricity,4.233805168766388,primal,battery.discharging,exp,in_electricity,0.0,primal
195,t196,battery.charging,exp,in_electricity,5.0,primal,battery.discharging,exp,in_electricity,0.0,primal
196,t197,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
197,t198,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
198,t199,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
199,t200,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,3.870108239574229,primal
200,t201,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,5.129891760425771,primal
201,t202,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
202,t203,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
203,t204,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
204,t205,battery.charging,exp,in_electricity,5.0,primal,battery.discharging,exp,in_electricity,0.0,primal
205,t206,battery.charging,exp,in_electricity,4.233805168766388,primal,battery.discharging,exp,in_electricity,0.0,primal
206,t207,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
207,t208,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
208,t209,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
209,t210,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,4.996367185507457,primal
210,t211,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,4.003632814492543,primal
211,t212,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
212,t213,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
213,t214,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
214,t215,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
215,t216,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
216,t217,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
217,t218,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
218,t219,battery.charging,exp,in_electricity,4.233805168766388,primal,battery.discharging,exp,in_electricity,0.0,primal
219,t220,battery.charging,exp,in_electricity,5.0,primal,battery.discharging,exp,in_electricity,0.0,primal
220,t221,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
221,t222,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
222,t223,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
223,t224,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
224,t225,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,4.949431323310032,primal
225,t226,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,4.050568676689968,primal
226,t227,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
227,t228,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
228,t229,battery.charging,exp,in_electricity,5.0,primal,battery.discharging,exp,in_electricity,0.0,primal
229,t230,battery.charging,exp,in_electricity,4.233805168766388,primal,battery.discharging,exp,in_electricity,0.0,primal
230,t231,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
231,t232,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
232,t233,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
233,t234,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,4.936412278154052,primal
234,t235,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,4.063587721845948,primal
235,t236,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
236,t237,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
237,t238,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
238,t239,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
239,t240,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
240,t241,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
241,t242,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
242,t243,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
243,t244,battery.charging,exp,in_electricity,4.233805168766388,primal,battery.discharging,exp,in_electricity,0.0,primal
244,t245,battery.charging,exp,in_electricity,5.0,primal,battery.discharging,exp,in_electricity,0.0,primal
245,t246,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
246,t247,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
247,t248,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
248,t249,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,5.129891760425771,primal
249,t250,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,3.870108239574229,primal
