,snapshot,component_buy,fieldtype_buy,field_buy,value_buy,mode_buy,component_sell,fieldtype_sell,field_sell,value_sell,mode_sell
280,t281,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
281,t282,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
282,t283,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
283,t284,buy_electricity,exp,value,0.4669768654883013,primal,sell_electricity,exp,value,0.0,primal
284,t285,buy_electricity,exp,value,4.089968346725104,primal,sell_electricity,exp,value,0.0,primal
285,t286,buy_electricity,exp,value,3.77708789870952,primal,sell_electricity,exp,value,0.0,primal
286,t287,buy_electricity,exp,value,3.7220598977355737,primal,sell_electricity,exp,value,0.0,primal
287,t288,buy_electricity,exp,value,3.5405405405405403,primal,sell_electricity,exp,value,0.0,primal
288,t289,buy_electricity,exp,value,3.400900900900901,primal,sell_electricity,exp,value,0.0,primal
289,t290,buy_electricity,exp,value,3.262356951546141,primal,sell_electricity,exp,value,0.0,primal
290,t291,buy_electricity,exp,value,3.1963720477233992,primal,sell_electricity,exp,value,0.0,primal
